,cluster,y,x,E,size
575,007972_G,9.0,6.0,411733.0,43.0
576,006560_G,6.0,9.0,463906.0,38.0
577,005487_B,4.0,6.0,179980.0,19.0
578,008059_E,18.0,15.0,902200.0,160.0
579,009735_A,25.0,13.0,1104203.0,154.0
580,002465_A,9.0,8.0,324814.0,58.0
581,003805_F,8.0,8.0,259102.0,48.0
582,009587_F,57.0,26.0,1332668.0,238.0
583,011978_E,4.0,5.0,0.0,0.0
584,009995_F,4.0,2.0,32205.0,6.0
585,004822_F,37.0,11.0,920595.0,152.0
586,002149_E,27.0,16.0,787855.0,123.0
587,008329_A,10.0,11.0,590077.0,84.0
588,009306_G,9.0,8.0,358568.0,53.0
589,000637_H,8.0,22.0,740342.0,103.0
590,009845_C,2.0,3.0,42513.0,6.0
591,008199_G,5.0,6.0,120844.0,21.0
592,005487_A,6.0,4.0,179980.0,19.0
593,000185_H,6.0,6.0,182856.0,30.0
594,001545_H,4.0,4.0,62326.0,12.0
595,007875_G,4.0,4.0,65352.0,14.0
596,007220_D,12.0,30.0,1257277.0,162.0
597,012076_C,5.0,3.0,80253.0,12.0
598,008043_E,3.0,3.0,33553.0,7.0
599,008495_D,12.0,15.0,874495.0,111.0
600,001124_C,12.0,10.0,718051.0,72.0
601,006515_E,25.0,34.0,1007998.0,161.0
602,001067_E,3.0,4.0,172784.0,8.0
603,001753_E,51.0,16.0,1876860.0,259.0
604,000209_C,37.0,13.0,581463.0,71.0
605,000427_F,12.0,10.0,518965.0,65.0
606,011654_B,16.0,79.0,1774409.0,309.0
607,008325_B,49.0,11.0,895339.0,149.0
608,009286_H,17.0,15.0,862750.0,103.0
609,008016_A,7.0,7.0,372570.0,35.0
610,004393_H,19.0,13.0,813380.0,108.0
611,004351_D,32.0,49.0,1668377.0,228.0
612,004481_E,6.0,21.0,640418.0,89.0
613,005187_B,7.0,8.0,276083.0,42.0
614,001519_H,6.0,18.0,621684.0,78.0
615,011837_H,8.0,8.0,305248.0,49.0
616,010025_A,8.0,7.0,416378.0,39.0
617,001519_E,18.0,6.0,621684.0,78.0
618,009547_H,25.0,7.0,683784.0,102.0
619,009862_E,18.0,9.0,768358.0,113.0
620,004393_C,13.0,19.0,813380.0,108.0
621,005018_B,6.0,68.0,1701230.0,277.0
622,008634_A,6.0,6.0,136619.0,24.0
623,003911_F,35.0,7.0,900238.0,143.0
624,009587_G,26.0,57.0,1332668.0,238.0
625,003309_D,5.0,6.0,120362.0,24.0
626,010416_D,6.0,7.0,250224.0,32.0
627,008016_H,7.0,7.0,372570.0,35.0
628,003748_A,8.0,8.0,232242.0,42.0
629,004445_H,10.0,12.0,541936.0,61.0
630,002989_B,27.0,29.0,969133.0,149.0
631,005674_B,10.0,20.0,829914.0,102.0
632,000487_G,3.0,2.0,47399.0,6.0
633,001970_A,14.0,9.0,388235.0,75.0
634,004713_H,69.0,54.0,1794430.0,327.0
635,001934_H,25.0,22.0,1231675.0,117.0
636,005694_A,2.0,3.0,36057.0,5.0
637,006013_A,6.0,6.0,196844.0,28.0
638,004419_C,13.0,14.0,674742.0,78.0
639,000784_C,6.0,5.0,105274.0,24.0
640,004788_D,6.0,5.0,122584.0,21.0
641,008329_B,11.0,10.0,590077.0,84.0
642,003802_F,36.0,12.0,1001931.0,152.0
643,008497_A,40.0,7.0,1021964.0,163.0
644,011437_B,41.0,32.0,1151624.0,185.0
645,001297_A,3.0,3.0,104055.0,7.0
646,001829_F,5.0,4.0,134192.0,16.0
647,011097_A,7.0,6.0,368558.0,31.0
648,010859_B,20.0,10.0,599582.0,89.0
649,006534_C,5.0,4.0,63561.0,15.0
650,001124_D,10.0,12.0,718051.0,72.0
651,005874_G,5.0,5.0,149004.0,22.0
652,002895_A,4.0,3.0,51177.0,8.0
653,006728_G,16.0,25.0,794342.0,116.0
654,008573_G,75.0,88.0,2662154.0,460.0
655,007815_D,2.0,3.0,27646.0,5.0
656,000385_C,6.0,6.0,224731.0,32.0
657,009850_A,3.0,2.0,40658.0,6.0
658,004682_B,4.0,4.0,65142.0,13.0
659,008249_B,34.0,33.0,1353907.0,190.0
660,010301_H,46.0,35.0,1832918.0,273.0
661,001273_D,8.0,7.0,314945.0,46.0
662,004481_B,21.0,6.0,640418.0,89.0
663,001297_H,3.0,3.0,104055.0,7.0
664,010886_B,5.0,6.0,114101.0,22.0
665,010886_C,6.0,5.0,114101.0,22.0
666,004147_G,15.0,10.0,661802.0,106.0
667,009193_B,44.0,25.0,1814295.0,303.0
668,001457_G,42.0,54.0,1512026.0,270.0
669,000987_A,7.0,7.0,197950.0,38.0
670,005819_E,15.0,17.0,635209.0,86.0
671,009012_H,28.0,15.0,831075.0,129.0
672,005490_G,48.0,39.0,1587967.0,269.0
673,004628_B,3.0,3.0,32482.0,5.0
674,004851_B,33.0,11.0,940237.0,151.0
675,006854_F,3.0,3.0,27777.0,5.0
676,005779_H,29.0,114.0,2355072.0,435.0
677,007520_H,15.0,16.0,704136.0,90.0
678,001207_D,7.0,5.0,249267.0,28.0
679,006344_E,15.0,42.0,1428754.0,278.0
680,010144_E,7.0,6.0,233652.0,34.0
681,008469_D,8.0,7.0,371102.0,27.0
682,006963_E,19.0,13.0,763355.0,102.0
683,008634_E,6.0,6.0,136619.0,24.0
684,011340_A,6.0,3.0,156850.0,10.0
685,009254_A,4.0,4.0,71146.0,13.0
686,008309_C,17.0,19.0,866979.0,148.0
687,011813_C,41.0,91.0,3559457.0,634.0
688,005694_D,3.0,2.0,36057.0,5.0
689,007523_H,5.0,4.0,92578.0,17.0
690,008155_D,10.0,17.0,850616.0,92.0
691,008776_B,7.0,15.0,543407.0,68.0
692,007045_F,4.0,4.0,56331.0,13.0
693,009411_F,8.0,26.0,779910.0,114.0
694,009254_E,4.0,4.0,71146.0,13.0
695,005882_E,17.0,20.0,1125143.0,180.0
696,003619_E,8.0,9.0,350548.0,56.0
697,005034_C,5.0,5.0,108237.0,18.0
698,008955_F,28.0,27.0,974181.0,158.0
699,009193_G,25.0,44.0,1814295.0,303.0
700,008977_B,6.0,28.0,779071.0,119.0
701,007469_G,10.0,7.0,255650.0,47.0
702,007648_B,46.0,44.0,1576183.0,258.0
703,006013_D,6.0,6.0,196844.0,28.0
704,005522_B,8.0,6.0,126614.0,15.0
705,007276_G,6.0,6.0,170979.0,29.0
706,000407_C,3.0,2.0,75870.0,6.0
707,009547_E,7.0,25.0,683784.0,102.0
708,002457_G,8.0,15.0,583992.0,70.0
709,005137_C,7.0,7.0,303733.0,36.0
710,004419_A,13.0,14.0,674742.0,78.0
711,009469_D,8.0,13.0,625553.0,85.0
712,003394_G,20.0,37.0,1221018.0,175.0
713,008911_B,23.0,7.0,719677.0,98.0
714,007555_F,9.0,9.0,626256.0,54.0
715,002892_D,73.0,54.0,2022717.0,266.0
716,009845_G,2.0,3.0,42513.0,6.0
717,000406_D,7.0,47.0,1091069.0,181.0
718,000408_C,31.0,14.0,1207714.0,155.0
719,003120_F,5.0,5.0,122330.0,21.0
720,001145_B,30.0,41.0,1367242.0,225.0
721,002423_F,21.0,23.0,1330855.0,152.0
722,008057_E,3.0,2.0,100790.0,5.0
723,009625_C,8.0,10.0,498373.0,55.0
724,007648_H,46.0,44.0,1576183.0,258.0
725,005990_G,11.0,8.0,300515.0,54.0
726,008215_H,35.0,159.0,4226578.0,778.0
727,002297_F,7.0,6.0,148199.0,28.0
728,010767_A,6.0,6.0,227821.0,33.0
729,008155_E,17.0,10.0,850616.0,92.0
730,006534_D,4.0,5.0,63561.0,15.0
731,011312_H,11.0,28.0,936641.0,122.0
732,008962_C,7.0,10.0,550367.0,53.0
733,006154_H,22.0,26.0,917181.0,135.0
734,004928_A,8.0,10.0,460256.0,53.0
735,003882_F,3.0,3.0,31156.0,6.0
736,002470_F,7.0,8.0,369986.0,46.0
737,008219_B,3.0,3.0,24584.0,6.0
738,001334_D,38.0,23.0,1628176.0,282.0
739,004374_B,9.0,10.0,614237.0,74.0
740,002259_C,36.0,37.0,1289342.0,206.0
741,005625_H,9.0,42.0,1012809.0,165.0
742,010992_C,29.0,4.0,765585.0,93.0
743,008975_A,3.0,2.0,28619.0,5.0
744,002622_G,14.0,38.0,737457.0,97.0
745,009127_H,24.0,12.0,741040.0,102.0
746,009179_G,30.0,16.0,974923.0,127.0
747,000784_D,5.0,6.0,105274.0,24.0
748,001157_D,31.0,17.0,1232791.0,157.0
749,002588_A,5.0,5.0,140076.0,22.0
750,000476_B,14.0,11.0,1239951.0,96.0
751,007114_D,11.0,8.0,493310.0,56.0
752,010301_A,35.0,46.0,1832918.0,273.0
753,005382_H,3.0,3.0,45019.0,9.0
754,003223_G,6.0,30.0,815155.0,127.0
755,007443_D,21.0,13.0,834415.0,115.0
756,001934_G,22.0,25.0,1231675.0,117.0
757,004075_H,84.0,144.0,4947540.0,857.0
758,003177_A,24.0,13.0,781916.0,113.0
759,006013_E,6.0,6.0,196844.0,28.0
760,005542_H,15.0,38.0,948520.0,161.0
761,011380_C,3.0,3.0,47481.0,8.0
762,000726_B,16.0,9.0,721829.0,106.0
763,007428_D,8.0,6.0,380615.0,30.0
764,005208_B,6.0,20.0,570431.0,82.0
765,003689_D,20.0,17.0,664824.0,127.0
766,001484_D,30.0,30.0,1285274.0,193.0
767,005882_D,20.0,17.0,1125143.0,180.0
768,006915_C,6.0,5.0,242245.0,25.0
769,004715_D,4.0,4.0,157586.0,13.0
770,002736_C,36.0,8.0,876382.0,145.0
771,008113_A,8.0,48.0,1011750.0,177.0
772,004017_C,9.0,16.0,607864.0,107.0
773,008043_F,3.0,3.0,33553.0,7.0
774,005623_E,35.0,23.0,985523.0,160.0
775,005988_E,7.0,3.0,68948.0,12.0
776,000726_G,9.0,16.0,721829.0,106.0
777,006751_C,6.0,14.0,463698.0,58.0
778,012058_C,8.0,20.0,541284.0,104.0
779,004715_E,4.0,4.0,157586.0,13.0
780,007581_C,4.0,4.0,188135.0,13.0
781,004775_C,190.0,124.0,8182689.0,1417.0
782,001304_F,10.0,13.0,583942.0,99.0
783,003974_H,12.0,7.0,470628.0,52.0
784,011935_F,15.0,22.0,0.0,0.0
785,001124_A,12.0,10.0,718051.0,72.0
786,007668_H,9.0,26.0,779321.0,108.0
787,006154_D,22.0,26.0,917181.0,135.0
788,005137_B,7.0,7.0,303733.0,36.0
789,009254_D,4.0,4.0,71146.0,13.0
790,007695_B,36.0,121.0,4823328.0,895.0
791,002895_G,4.0,3.0,51177.0,8.0
792,011149_B,56.0,20.0,1377138.0,227.0
793,007182_B,3.0,3.0,72881.0,8.0
794,002033_A,9.0,9.0,482469.0,51.0
795,000130_B,19.0,8.0,706164.0,89.0
796,004690_A,8.0,8.0,290888.0,50.0
797,000130_C,8.0,19.0,706164.0,89.0
798,005187_C,8.0,7.0,276083.0,42.0
799,009193_C,25.0,44.0,1814295.0,303.0
800,006471_C,11.0,9.0,750924.0,78.0
801,010962_E,38.0,7.0,1128586.0,164.0
802,001686_F,19.0,12.0,964790.0,115.0
803,004928_E,8.0,10.0,460256.0,53.0
804,003805_G,8.0,8.0,259102.0,48.0
805,009198_G,4.0,4.0,17615.0,4.0
806,011376_E,13.0,16.0,639220.0,90.0
807,007523_G,4.0,5.0,92578.0,17.0
808,001382_G,34.0,33.0,1084854.0,183.0
809,005910_F,25.0,89.0,1940430.0,355.0
810,011481_D,32.0,15.0,1271089.0,179.0
811,011871_C,12.0,22.0,508190.0,51.0
812,007220_F,12.0,30.0,1257277.0,162.0
813,006154_A,26.0,22.0,917181.0,135.0
814,010459_D,8.0,9.0,318777.0,54.0
815,002367_E,5.0,6.0,109740.0,25.0
816,006533_H,21.0,7.0,824429.0,97.0
817,006684_F,20.0,17.0,797724.0,121.0
818,005459_H,15.0,14.0,991852.0,150.0
819,005208_E,20.0,6.0,570431.0,82.0
820,011871_G,12.0,22.0,508190.0,51.0
821,004231_B,8.0,24.0,606623.0,97.0
822,007668_B,9.0,26.0,779321.0,108.0
823,002989_A,29.0,27.0,969133.0,149.0
824,011218_A,5.0,5.0,210154.0,19.0
825,005625_A,42.0,9.0,1012809.0,165.0
826,002033_H,9.0,9.0,482469.0,51.0
827,010991_C,17.0,28.0,836510.0,130.0
828,007936_A,68.0,27.0,1798878.0,299.0
829,010024_G,6.0,6.0,195157.0,30.0
830,011837_B,8.0,8.0,305248.0,49.0
831,001976_G,5.0,6.0,145802.0,27.0
832,003721_G,76.0,45.0,2221023.0,364.0
833,007220_H,12.0,30.0,1257277.0,162.0
834,001273_H,8.0,7.0,314945.0,46.0
835,003756_F,22.0,25.0,1085007.0,142.0
836,006751_H,14.0,6.0,463698.0,58.0
837,003882_C,3.0,3.0,31156.0,6.0
838,006728_E,16.0,25.0,794342.0,116.0
839,005275_B,4.0,4.0,80405.0,15.0
840,000439_E,28.0,21.0,998156.0,144.0
841,005910_G,89.0,25.0,1940430.0,355.0
842,002892_G,54.0,73.0,2022717.0,266.0
843,005327_C,5.0,5.0,257446.0,20.0
844,008380_A,10.0,12.0,556007.0,84.0
845,003812_F,6.0,7.0,190112.0,35.0
846,000874_E,17.0,38.0,1677450.0,253.0
847,003303_E,59.0,10.0,1481517.0,246.0
848,009306_B,8.0,9.0,358568.0,53.0
849,001334_C,23.0,38.0,1628176.0,282.0
850,005493_G,6.0,6.0,180670.0,30.0
851,001257_G,12.0,26.0,707260.0,145.0
852,004481_G,6.0,21.0,640418.0,89.0
853,010704_E,13.0,26.0,836259.0,121.0
854,000601_H,16.0,36.0,1062903.0,218.0
855,004018_H,19.0,18.0,784009.0,113.0
856,011813_E,41.0,91.0,3559457.0,634.0
857,007803_E,6.0,6.0,157120.0,29.0
858,009044_B,4.0,5.0,158409.0,14.0
859,003177_B,13.0,24.0,781916.0,113.0
860,005057_G,12.0,5.0,404305.0,29.0
861,011794_G,174.0,185.0,8014488.0,1352.0
862,010923_H,2.0,3.0,27200.0,5.0
863,009850_H,2.0,3.0,40658.0,6.0
864,002206_B,21.0,20.0,681986.0,106.0
865,009633_B,8.0,7.0,215447.0,43.0
866,000501_H,28.0,55.0,1387341.0,237.0
867,005217_C,31.0,38.0,1192143.0,200.0
868,002123_H,25.0,13.0,779863.0,115.0
869,006344_H,42.0,15.0,1428754.0,278.0
870,003689_B,20.0,17.0,664824.0,127.0
871,012000_A,9.0,25.0,1073053.0,135.0
872,008635_E,11.0,10.0,642915.0,75.0
873,002992_D,33.0,37.0,1197839.0,221.0
874,003619_C,8.0,9.0,350548.0,56.0
875,000066_C,76.0,58.0,2850314.0,474.0
876,000293_A,126.0,51.0,3215490.0,540.0
877,009969_F,5.0,4.0,84821.0,17.0
878,001124_H,10.0,12.0,718051.0,72.0
879,007923_B,3.0,3.0,37941.0,7.0
880,004560_B,6.0,6.0,436528.0,32.0
881,000066_A,76.0,58.0,2850314.0,474.0
882,007648_A,44.0,46.0,1576183.0,258.0
883,005506_A,26.0,14.0,1041439.0,139.0
884,003223_C,6.0,30.0,815155.0,127.0
885,003003_E,23.0,9.0,959227.0,119.0
886,003865_C,3.0,3.0,66582.0,7.0
887,000289_D,3.0,3.0,96780.0,6.0
888,004305_B,17.0,9.0,630396.0,81.0
889,003809_G,15.0,12.0,594484.0,75.0
890,001993_A,48.0,42.0,1352520.0,242.0
891,008681_E,3.0,2.0,28644.0,5.0
892,003799_G,7.0,7.0,325337.0,31.0
893,009014_B,3.0,2.0,28476.0,5.0
894,000601_D,16.0,36.0,1062903.0,218.0
895,006344_B,42.0,15.0,1428754.0,278.0
896,003052_C,47.0,24.0,1185344.0,208.0
897,008912_F,26.0,13.0,777559.0,117.0
898,007936_C,68.0,27.0,1798878.0,299.0
899,007392_E,30.0,17.0,731892.0,86.0
900,007803_G,6.0,6.0,157120.0,29.0
901,006013_H,6.0,6.0,196844.0,28.0
902,006625_D,5.0,5.0,115701.0,17.0
903,006854_D,3.0,3.0,27777.0,5.0
904,002895_E,4.0,3.0,51177.0,8.0
905,002778_C,31.0,6.0,812059.0,128.0
906,010868_C,92.0,30.0,2232496.0,381.0
907,002431_G,7.0,23.0,743854.0,105.0
908,011892_B,13.0,11.0,523914.0,67.0
909,002433_G,24.0,11.0,714484.0,105.0
910,010456_C,16.0,10.0,619060.0,77.0
911,004351_G,49.0,32.0,1668377.0,228.0
912,001003_F,17.0,22.0,1004213.0,130.0
913,005910_D,25.0,89.0,1940430.0,355.0
914,005990_A,11.0,8.0,300515.0,54.0
915,005910_E,89.0,25.0,1940430.0,355.0
916,004589_D,9.0,11.0,480509.0,52.0
917,007667_G,19.0,11.0,672173.0,69.0
918,001355_F,18.0,25.0,853550.0,127.0
919,009508_E,31.0,41.0,1245257.0,205.0
920,009254_F,4.0,4.0,71146.0,13.0
921,011138_A,13.0,12.0,784399.0,67.0
922,010301_C,35.0,46.0,1832918.0,273.0
923,001753_A,51.0,16.0,1876860.0,259.0
924,002164_D,14.0,14.0,568594.0,78.0
925,002367_C,5.0,6.0,109740.0,25.0
926,003052_G,47.0,24.0,1185344.0,208.0
927,001257_C,12.0,26.0,707260.0,145.0
928,008116_B,3.0,19.0,253583.0,41.0
929,010186_F,41.0,23.0,1203451.0,187.0
930,007170_H,41.0,19.0,1047250.0,178.0
931,005779_D,29.0,114.0,2355072.0,435.0
932,005590_F,31.0,32.0,1014772.0,169.0
933,001754_H,38.0,7.0,1032160.0,163.0
934,001002_E,4.0,5.0,76574.0,15.0
935,007416_G,7.0,20.0,581226.0,84.0
936,005779_G,114.0,29.0,2355072.0,435.0
937,006733_B,44.0,35.0,2386339.0,382.0
938,006560_H,9.0,6.0,463906.0,38.0
939,005252_G,5.0,5.0,147338.0,18.0
940,004989_A,7.0,7.0,224107.0,40.0
941,008116_D,3.0,19.0,253583.0,41.0
942,003477_A,6.0,6.0,124350.0,27.0
943,008329_H,11.0,10.0,590077.0,84.0
944,004481_D,21.0,6.0,640418.0,89.0
945,003303_G,59.0,10.0,1481517.0,246.0
946,008497_E,40.0,7.0,1021964.0,163.0
947,000427_G,10.0,12.0,518965.0,65.0
948,009469_B,8.0,13.0,625553.0,85.0
949,010980_B,12.0,16.0,288432.0,43.0
950,005590_B,31.0,32.0,1014772.0,169.0
951,006983_F,47.0,30.0,1227500.0,215.0
952,001934_E,22.0,25.0,1231675.0,117.0
953,001386_B,5.0,5.0,184008.0,19.0
954,002128_G,7.0,15.0,514678.0,62.0
955,009291_G,12.0,19.0,1061123.0,120.0
956,006747_H,33.0,6.0,769911.0,134.0
957,006566_E,3.0,4.0,159544.0,9.0
958,000885_G,47.0,35.0,1185465.0,163.0
959,008897_C,26.0,13.0,983105.0,123.0
960,009850_C,3.0,2.0,40658.0,6.0
961,011380_G,3.0,3.0,47481.0,8.0
962,009587_H,57.0,26.0,1332668.0,238.0
963,008573_A,75.0,88.0,2662154.0,460.0
964,008176_B,26.0,5.0,346661.0,39.0
965,006963_A,19.0,13.0,763355.0,102.0
966,001052_C,84.0,58.0,4213354.0,699.0
967,004690_H,8.0,8.0,290888.0,50.0
968,007875_H,4.0,4.0,65352.0,14.0
969,007331_F,6.0,9.0,421813.0,40.0
970,009766_A,14.0,7.0,514165.0,60.0
971,006733_H,44.0,35.0,2386339.0,382.0
972,001157_C,17.0,31.0,1232791.0,157.0
973,007264_C,5.0,7.0,300141.0,28.0
974,000694_A,23.0,57.0,2159328.0,285.0
975,006143_E,5.0,5.0,126428.0,19.0
976,000154_G,66.0,60.0,2260511.0,381.0
977,006983_G,30.0,47.0,1227500.0,215.0
978,007279_B,4.0,4.0,112205.0,16.0
979,011933_C,8.0,8.0,445903.0,49.0
980,009291_A,12.0,19.0,1061123.0,120.0
981,003911_E,7.0,35.0,900238.0,143.0
982,007416_H,20.0,7.0,581226.0,84.0
983,011928_D,25.0,19.0,772196.0,139.0
984,002612_E,3.0,2.0,122275.0,5.0
985,011249_G,8.0,7.0,338402.0,41.0
986,010303_E,4.0,5.0,92912.0,16.0
987,006320_G,14.0,10.0,485915.0,67.0
988,003177_G,24.0,13.0,781916.0,113.0
989,002470_H,7.0,8.0,369986.0,46.0
990,007703_D,3.0,3.0,89012.0,8.0
991,002021_D,14.0,49.0,1115525.0,194.0
992,007520_G,16.0,15.0,704136.0,90.0
993,008962_F,10.0,7.0,550367.0,53.0
994,000407_G,3.0,2.0,75870.0,6.0
995,007114_G,8.0,11.0,493310.0,56.0
996,002021_F,14.0,49.0,1115525.0,194.0
997,002778_H,6.0,31.0,812059.0,128.0
998,003812_D,6.0,7.0,190112.0,35.0
999,008497_D,7.0,40.0,1021964.0,163.0
1000,004678_D,8.0,16.0,500892.0,69.0
1001,006963_B,13.0,19.0,763355.0,102.0
1002,008906_E,23.0,78.0,1806497.0,313.0
1003,001304_E,13.0,10.0,583942.0,99.0
1004,005567_D,28.0,19.0,816421.0,131.0
1005,005882_B,20.0,17.0,1125143.0,180.0
1006,006344_A,15.0,42.0,1428754.0,278.0
1007,010144_H,6.0,7.0,233652.0,34.0
1008,005018_D,6.0,68.0,1701230.0,277.0
1009,001934_B,25.0,22.0,1231675.0,117.0
1010,004305_C,9.0,17.0,630396.0,81.0
1011,008894_B,2.0,4.0,31309.0,6.0
1012,011995_A,5.0,6.0,130017.0,24.0
1013,011933_H,8.0,8.0,445903.0,49.0
1014,006751_E,6.0,14.0,463698.0,58.0
1015,008718_D,22.0,45.0,1192912.0,201.0
1016,003711_A,14.0,20.0,661790.0,93.0
1017,004908_G,9.0,31.0,1010648.0,149.0
1018,007331_H,6.0,9.0,421813.0,40.0
1019,005674_F,10.0,20.0,829914.0,102.0
1020,005187_H,7.0,8.0,276083.0,42.0
1021,010923_A,3.0,2.0,27200.0,5.0
1022,012058_A,8.0,20.0,541284.0,104.0
1023,011935_E,22.0,15.0,0.0,0.0
1024,011957_H,4.0,4.0,69045.0,11.0
1025,000784_F,5.0,6.0,105274.0,24.0
1026,003873_F,6.0,5.0,180651.0,26.0
1027,008897_E,26.0,13.0,983105.0,123.0
1028,010991_H,28.0,17.0,836510.0,130.0
1029,010634_F,14.0,46.0,1171418.0,186.0
1030,009304_F,22.0,16.0,762143.0,111.0
1031,003772_G,7.0,4.0,155209.0,18.0
1032,011312_A,28.0,11.0,936641.0,122.0
1033,010992_G,29.0,4.0,765585.0,93.0
1034,009822_G,57.0,34.0,1797787.0,281.0
1035,010760_H,5.0,6.0,202037.0,22.0
1036,006684_G,17.0,20.0,797724.0,121.0
1037,010991_F,28.0,17.0,836510.0,130.0
1038,000293_C,126.0,51.0,3215490.0,540.0
1039,011312_G,28.0,11.0,936641.0,122.0
1040,004887_E,13.0,22.0,731505.0,106.0
1041,007694_F,15.0,16.0,866111.0,109.0
1042,006963_G,19.0,13.0,763355.0,102.0
1043,004560_C,6.0,6.0,436528.0,32.0
1044,007045_B,4.0,4.0,56331.0,13.0
1045,008495_G,15.0,12.0,874495.0,111.0
1046,002496_H,11.0,8.0,501432.0,46.0
1047,001866_H,10.0,7.0,361943.0,25.0
1048,000707_C,35.0,25.0,1039705.0,167.0
1049,001886_B,7.0,7.0,332628.0,41.0
1050,009644_E,6.0,15.0,496618.0,64.0
1051,010416_E,7.0,6.0,250224.0,32.0
1052,004231_A,24.0,8.0,606623.0,97.0
1053,009633_H,8.0,7.0,215447.0,43.0
1054,003477_G,6.0,6.0,124350.0,27.0
1055,011097_D,6.0,7.0,368558.0,31.0
1056,009080_C,22.0,25.0,831944.0,130.0
1057,002206_C,20.0,21.0,681986.0,106.0
1058,012076_D,3.0,5.0,80253.0,12.0
1059,000408_D,14.0,31.0,1207714.0,155.0
1060,010898_B,5.0,5.0,106644.0,21.0
1061,011881_D,7.0,3.0,124337.0,16.0
1062,002297_A,6.0,7.0,148199.0,28.0
1063,003888_D,26.0,16.0,753874.0,121.0
1064,004075_B,84.0,144.0,4947540.0,857.0
1065,005694_B,3.0,2.0,36057.0,5.0
1066,003882_B,3.0,3.0,31156.0,6.0
1067,005987_A,36.0,74.0,2988264.0,499.0
1068,003955_B,12.0,8.0,634573.0,60.0
1069,003772_A,7.0,4.0,155209.0,18.0
1070,006504_E,4.0,4.0,59468.0,12.0
1071,000102_D,34.0,116.0,3528536.0,619.0
1072,009458_E,64.0,25.0,2190789.0,377.0
1073,001355_E,25.0,18.0,853550.0,127.0
1074,006504_F,4.0,4.0,59468.0,12.0
1075,004147_H,10.0,15.0,661802.0,106.0
1076,003721_E,76.0,45.0,2221023.0,364.0
1077,003223_A,6.0,30.0,815155.0,127.0
1078,008016_B,7.0,7.0,372570.0,35.0
1079,006935_D,4.0,4.0,54161.0,13.0
1080,005779_B,29.0,114.0,2355072.0,435.0
1081,009625_A,8.0,10.0,498373.0,55.0
1082,003052_F,24.0,47.0,1185344.0,208.0
1083,009625_E,8.0,10.0,498373.0,55.0
1084,006566_C,3.0,4.0,159544.0,9.0
1085,008057_H,2.0,3.0,100790.0,5.0
1086,010301_B,46.0,35.0,1832918.0,273.0
1087,007947_A,2.0,3.0,76375.0,5.0
1088,001003_H,17.0,22.0,1004213.0,130.0
1089,008048_G,30.0,35.0,1027606.0,179.0
1090,000694_G,23.0,57.0,2159328.0,285.0
1091,001067_H,4.0,3.0,172784.0,8.0
1092,011978_H,5.0,4.0,0.0,0.0
1093,002371_E,12.0,34.0,1019163.0,168.0
1094,002311_E,8.0,8.0,265265.0,48.0
1095,008343_G,74.0,51.0,2910856.0,438.0
1096,003974_C,7.0,12.0,470628.0,52.0
1097,003713_D,3.0,2.0,113736.0,5.0
1098,011794_B,185.0,174.0,8014488.0,1352.0
1099,004775_D,124.0,190.0,8182689.0,1417.0
1100,000594_B,29.0,15.0,806555.0,127.0
1101,007045_D,4.0,4.0,56331.0,13.0
1102,005623_C,35.0,23.0,985523.0,160.0
1103,005752_B,46.0,19.0,1143954.0,194.0
1104,007815_C,3.0,2.0,27646.0,5.0
1105,010898_E,5.0,5.0,106644.0,21.0
1106,007585_D,14.0,23.0,942261.0,122.0
1107,010277_A,23.0,30.0,1167683.0,205.0
1108,000926_E,30.0,12.0,812744.0,124.0
1109,010468_B,44.0,28.0,1279361.0,211.0
1110,000430_D,3.0,3.0,41746.0,8.0
1111,006143_B,5.0,5.0,126428.0,19.0
1112,007972_B,6.0,9.0,411733.0,43.0
1113,008116_F,3.0,19.0,253583.0,41.0
1114,008057_D,2.0,3.0,100790.0,5.0
1115,003721_H,45.0,76.0,2221023.0,364.0
1116,005034_E,5.0,5.0,108237.0,18.0
1117,012058_D,20.0,8.0,541284.0,104.0
1118,002588_C,5.0,5.0,140076.0,22.0
1119,011701_B,17.0,15.0,1184202.0,179.0
1120,001280_E,8.0,9.0,380648.0,57.0
1121,010962_F,7.0,38.0,1128586.0,164.0
1122,002431_A,7.0,23.0,743854.0,105.0
1123,002895_B,3.0,4.0,51177.0,8.0
1124,001257_B,26.0,12.0,707260.0,145.0
1125,006625_F,5.0,5.0,115701.0,17.0
1126,000154_D,60.0,66.0,2260511.0,381.0
1127,010329_F,15.0,31.0,1272999.0,200.0
1128,001145_H,30.0,41.0,1367242.0,225.0
1129,006827_H,6.0,7.0,290665.0,27.0
1130,007459_G,25.0,42.0,1044196.0,178.0
1131,007220_G,30.0,12.0,1257277.0,162.0
1132,002015_B,16.0,10.0,641106.0,79.0
1133,002465_H,8.0,9.0,324814.0,58.0
1134,010277_G,23.0,30.0,1167683.0,205.0
1135,002297_D,7.0,6.0,148199.0,28.0
1136,004713_C,54.0,69.0,1794430.0,327.0
1137,001934_D,25.0,22.0,1231675.0,117.0
1138,000385_A,6.0,6.0,224731.0,32.0
1139,011957_E,4.0,4.0,69045.0,11.0
1140,005239_H,8.0,8.0,259014.0,48.0
1141,011995_C,5.0,6.0,130017.0,24.0
1142,008048_H,35.0,30.0,1027606.0,179.0
1143,008897_D,13.0,26.0,983105.0,123.0
1144,010277_C,23.0,30.0,1167683.0,205.0
